date,copper,scco_open,scco_high,scco_low,scco_close,scco_volume,ratio,p_safe,p_watch,p_hot
2026-04-06,5.5835,173.84,176.1,170.98,174.01,955359,1.2134,154.88,169.22,183.56
2026-04-07,5.5445,173.4,173.95,168.31,171.35,1173216,1.2033,153.8,168.04,182.28
2026-04-08,5.7595,186.21,187.14,180.71,184.35,1631554,1.2462,159.76,174.55,189.34
2026-04-09,5.748,183.12,187.02,181.67,185.22,981922,1.2546,159.44,174.2,188.97
2026-04-10,5.8705,189.11,193.42,187.64,189.66,1563682,1.2579,162.84,177.92,192.99
2026-04-13,5.976,187.13,193.55,185.98,193.42,1885165,1.2602,165.76,181.11,196.46
2026-04-14,6.0705,194.24,195.93,190.34,190.46,1458440,1.2216,168.39,183.98,199.57
2026-04-15,6.072,187.14,191.47,184.61,186.45,1127766,1.1956,168.43,184.02,199.62
2026-04-16,6.0665,189.0,190.27,184.11,185.41,1049188,1.19,168.27,183.86,199.44
2026-04-17,6.1035,189.6,193.05,186.15,191.39,1415212,1.2209,169.3,184.98,200.65
2026-04-20,6.036,187.21,189.94,185.68,187.89,1040300,1.212,167.43,182.93,198.43
2026-04-21,6.0015,186.96,190.05,179.88,180.77,1415414,1.1728,166.47,181.89,197.3
2026-04-22,6.12,185.04,187.11,183.69,184.88,1114939,1.1762,169.76,185.48,201.2
2026-04-23,6.0755,184.88,191.85,177.41,179.5,2270379,1.1503,168.52,184.13,199.73
2026-04-24,6.0235,180.35,181.65,177.06,177.71,1332089,1.1487,167.08,182.55,198.02
2026-04-27,6.018,177.29,179.16,173.35,175.44,1587215,1.1351,166.93,182.39,197.84
2026-04-28,5.9145,171.36,172.47,166.18,167.92,2041109,1.1054,164.06,179.25,194.44
2026-04-29,5.8785,167.95,168.94,163.97,165.89,1277953,1.0987,163.06,178.16,193.26
2026-04-30,5.926,170.15,171.26,166.4,169.1,1379862,1.111,164.38,179.6,194.82
2026-05-01,5.932,165.97,170.03,164.48,168.6,1082619,1.1066,164.54,179.78,195.01
2026-05-04,5.795,166.53,167.24,163.39,163.79,1222706,1.1005,160.74,175.63,190.51
2026-05-05,5.943,169.3,170.99,167.03,168.45,924453,1.1036,164.85,180.11,195.38
2026-05-06,6.1365,177.29,182.79,175.32,181.14,1584387,1.1493,170.22,185.98,201.74
2026-05-07,6.1275,183.54,185.27,176.31,176.84,1394406,1.1237,169.97,185.7,201.44
2026-05-08,6.249,180.81,185.59,180.81,182.5,1093426,1.1371,173.34,189.39,205.44
2026-05-11,6.4135,185.6,189.13,181.94,182.44,2003537,1.1076,177.9,194.37,210.84
2026-05-12,6.485,179.27,189.1,176.32,188.86,2028787,1.1339,179.88,196.54,213.19
2026-05-13,6.6355,191.92,194.93,188.13,191.89,1654400,1.126,184.06,201.1,218.14
2026-05-14,6.5675,190.01,190.53,185.27,188.5,1191700,1.1175,182.17,199.04,215.91
2026-05-15,6.2515,179.26,179.65,174.62,176.78,1406900,1.101,173.41,189.46,205.52
2026-05-18,6.272,178.52,178.52,169.19,171.9,1467600,1.0671,173.97,190.08,206.19
2026-05-19,6.165,168.39,171.85,165.23,169.0,992800,1.0673,171.01,186.84,202.67
2026-05-20,6.2905,170.97,175.19,169.21,174.09,930000,1.0775,174.49,190.64,206.8
2026-05-21,6.257,174.08,181.83,172.0,179.12,1349800,1.1146,173.56,189.63,205.7
2026-05-22,6.342,178.75,180.83,177.04,179.67,1041100,1.103,175.92,192.2,208.49
2026-05-26,6.361,184.49,190.0,184.01,189.88,1066300,1.1622,176.44,192.78,209.12
2026-05-27,6.305,187.56,189.2,185.11,187.75,1026600,1.1594,174.89,191.08,207.28
2026-05-28,6.396,185.89,195.89,183.56,194.88,1225900,1.1863,177.41,193.84,210.27
2026-05-29,6.3595,193.25,194.45,188.8,191.3,1577200,1.1712,176.4,192.74,209.07
2026-06-01,6.524,188.91,197.65,187.57,194.62,1222200,1.1615,180.96,197.72,214.48
2026-06-02,6.6495,196.58,203.19,196.2,201.37,1232600,1.1791,184.45,201.52,218.6
2026-06-03,6.481,198.25,199.95,193.09,196.59,1012900,1.181,179.77,196.42,213.06
2026-06-04,6.511,192.93,194.98,191.02,194.09,1176400,1.1606,180.6,197.33,214.05
2026-06-05,6.2635,186.87,187.06,172.3,172.97,1920800,1.0752,173.74,189.83,205.91
2026-06-08,6.3295,176.68,176.68,169.82,170.48,1684200,1.0487,175.57,191.83,208.08
2026-06-09,6.3025,173.87,179.02,167.7,175.17,1608000,1.0822,174.82,191.01,207.19
2026-06-10,6.249,171.02,173.51,165.5,167.76,1548200,1.0453,173.34,189.39,205.44
2026-06-11,6.259,170.7,182.37,168.2,182.16,1613700,1.1332,173.61,189.69,205.76
2026-06-12,6.4305,185.49,190.47,184.69,189.79,1119400,1.1491,178.37,194.89,211.4
2026-06-15,6.4825,200.0,201.82,192.15,193.22,1768700,1.1605,179.81,196.46,213.11
2026-06-16,6.489,195.0,198.57,192.25,194.53,1346800,1.1672,179.99,196.66,213.33
2026-06-17,6.4815,194.91,203.0,191.42,191.68,1569300,1.1515,179.79,196.43,213.08
2026-06-18,6.3745,192.85,194.12,189.39,192.93,1972800,1.1784,176.82,193.19,209.56
2026-06-22,6.3565,190.33,191.96,187.31,189.91,1218000,1.1633,176.32,192.64,208.97
2026-06-23,6.141,178.96,182.97,176.48,178.57,1166000,1.1322,170.34,186.11,201.89
2026-06-24,5.943,172.28,175.12,169.7,171.84,1832400,1.1258,164.85,180.11,195.38
2026-06-25,6.0705,172.76,178.25,170.87,174.73,1751600,1.1207,168.39,183.98,199.57
2026-06-26,6.1415,172.0,177.55,170.1,171.26,1697500,1.0857,170.35,186.13,201.9
2026-06-29,6.0975,170.98,170.98,165.99,168.45,1413100,1.0756,169.13,184.79,200.46
2026-06-30,6.1925,172.37,174.95,170.56,174.26,1311000,1.0957,171.77,187.67,203.58
2026-07-01,6.1235,172.99,173.37,168.53,168.8,1140400,1.0733,169.86,185.58,201.31
2026-07-02,6.1145,171.0,175.89,169.14,172.01,1454500,1.0953,169.61,185.31,201.01
2026-07-03,6.224,171.0,175.89,169.14,172.01,1454500,1.076,172.64,188.63,204.61
2026-07-04,6.224,171.0,175.89,169.14,172.01,1454500,1.076,172.64,188.63,204.61
2026-07-06,6.252,175.78,176.38,173.32,173.87,521048,1.0828,173.42,189.48,205.53
2026-07-07,6.182,170.0,171.4,165.9,169.75,813448,1.0691,171.48,187.36,203.23
2026-07-08,6.126,165.0,168.13,161.29,166.46,542616,1.058,169.92,185.66,201.39
